gamesPlayed,playerBirthCity,playerBirthCountry,playerBirthDate,playerBirthStateProvince,playerDraftOverallPickNo,playerDraftRoundNo,playerDraftYear,playerFirstName,playerHeight,playerId,playerInHockeyHof,playerIsActive,playerLastName,playerName,playerNationality,playerPositionCode,playerShootsCatches,playerTeamsPlayedFor,playerWeight,seasonId,shotAttempts,shotAttemptsAgainst,shotAttemptsAhead,shotAttemptsBehind,shotAttemptsClose,shotAttemptsFor,shotAttemptsRelPctg,shotAttemptsTied,unblockedShotAttempts,unblockedShotAttemptsAgainst,unblockedShotAttemptsAhead,unblockedShotAttemptsBehind,unblockedShotAttemptsClose,unblockedShotAttemptsFor,unblockedShotAttemptsRelPctg,unblockedShotAttemptsTied
16,Vasteras,SWE,1989-03-17,,24.0,1.0,2007.0,Mikael,72,8474150,0,1,Backlund,Mikael Backlund,SWE,C,L,CGY,200,20182019,101,170,-1,80,54,271,0.0976,22,57,137,-12,54,34,194,0.0841,15
15,Barnual,RUS,2000-03-26,,2.0,1.0,2018.0,Andrei,74,8480830,0,1,Svechnikov,Andrei Svechnikov,RUS,R,L,CAR,188,20182019,96,112,14,43,55,208,0.0463,39,86,80,14,36,56,166,0.0728,36
15,Brandon,CAN,1992-07-25,MB,58.0,2.0,2012.0,Jordan,72,8476921,0,1,Martinook,Jordan Martinook,CAN,L,L,CAR,204,20182019,95,129,18,35,74,224,0.027,42,87,94,19,30,71,181,0.053,38
15,Langley,CAN,1995-08-03,BC,26.0,1.0,2013.0,Shea,74,8477447,0,1,Theodore,Shea Theodore,CAN,D,L,VGK,195,20182019,93,206,-15,66,67,299,0.014,42,52,153,-4,35,35,205,-0.0047,21
15,New Westminster,CAN,1990-11-13,BC,,,,Brenden,76,8475455,0,1,Dillon,Brenden Dillon,CAN,D,L,SJS,225,20182019,93,151,19,40,65,244,0.0547,34,80,110,25,27,58,190,0.0759,28
15,Pori,FIN,1991-03-23,,181.0,7.0,2009.0,Erik,72,8475287,0,1,Haula,Erik Haula,FIN,C,L,VGK,193,20182019,92,149,4,54,68,241,0.0488,34,57,101,1,34,45,158,0.0472,22
15,Brooklyn,USA,1995-12-12,NY,171.0,6.0,2014.0,Kevin,71,8478099,0,1,Labanc,Kevin Labanc,USA,R,R,SJS,185,20182019,91,154,15,23,75,245,0.0498,53,43,133,11,7,37,176,-0.0124,25
15,Edmonton,CAN,1992-05-06,AB,147.0,5.0,2010.0,Brendan,69,8475848,0,1,Gallagher,Brendan Gallagher,CAN,R,R,MTL,184,20182019,91,154,27,35,67,245,0.1092,29,55,117,16,18,44,172,0.0929,21
16,Scottsdale,USA,1997-12-11,AZ,6.0,1.0,2016.0,Matthew,74,8479314,0,1,Tkachuk,Matthew Tkachuk,USA,L,L,CGY,202,20182019,89,173,-4,68,55,262,0.0796,25,51,133,-13,48,33,184,0.0746,16
15,Vancouver,CAN,1991-08-02,BC,4.0,1.0,2009.0,Evander,74,8475169,0,1,Kane,Evander Kane,CAN,L,L,SJS,210,20182019,86,166,17,26,66,252,0.035,43,60,132,16,16,45,192,0.0202,28
