7,0.3882,1,15,6,1,8,Cap-Rouge,CAN,1990-12-27,QC,,,,Jonathan,69,8476539,0,1,Marchessault,Jonathan Marchessault,CAN,C,R,VGK,174,2,13,0.8666,1,4,20182019,0,0,21.3333,0.0937,64,1219.2
7,1.0,0,13,6,0,0,Yaroslavl,RUS,1991-12-13,,16.0,1.0,2010.0,Vladimir,72,8475765,0,1,Tarasenko,Vladimir Tarasenko,RUS,R,L,STL,225,-7,13,1.0,4,7,20182019,0,0,24.3076,0.1111,54,1125.2307
7,0.4767,0,14,6,0,20,Kitchener,CAN,1993-03-15,ON,7.0,1.0,2011.0,Mark,75,8476460,0,1,Scheifele,Mark Scheifele,CAN,C,R,WPG,207,3,13,0.9285,3,6,20182019,0,0,24.4285,0.1818,33,1359.2857
7,0.5179,1,15,6,0,10,Huddinge,SWE,1993-04-18,,6.0,1.0,2011.0,Mika,74,8476459,0,1,Zibanejad,Mika Zibanejad,SWE,C,R,NYR,213,0,13,0.8666,2,4,20182019,2,2,26.4,0.1,60,1243.0666
7,0.4318,2,14,6,1,2,Oulu,FIN,1992-02-26,,9.0,1.0,2010.0,Mikael,70,8475798,0,1,Granlund,Mikael Granlund,FIN,R,L,MIN,185,1,13,0.9285,1,5,20182019,1,1,22.9285,0.1875,32,1129.4285
8,0.548,1,15,5,0,2,Markham,CAN,1990-02-07,ON,1.0,1.0,2008.0,Steven,73,8474564,0,1,Stamkos,Steven Stamkos,CAN,C,R,TBL,194,-1,13,0.8666,1,5,20182019,0,0,20.6666,0.1063,47,1034.6
8,0.3,0,14,5,0,6,Minneapolis,USA,1984-07-28,MN,17.0,1.0,2003.0,Zach,71,8470610,0,1,Parise,Zach Parise,USA,L,L,MIN,193,7,13,0.9285,2,3,20182019,0,2,23.1428,0.119,42,1124.9285
8,0.3666,1,14,5,0,21,Edina,USA,1990-07-03,MN,151.0,6.0,2009.0,Anders,75,8475314,0,1,Lee,Anders Lee,USA,L,L,NYI,231,7,13,0.9285,4,6,20182019,0,0,21.7142,0.125,40,1078.5
8,0.2222,0,15,5,0,6,Ilava,SVK,1990-12-01,,60.0,2.0,2009.0,Tomas,70,8475193,0,1,Tatar,Tomas Tatar,SVK,L,L,MTL,182,5,13,0.8666,1,2,20182019,0,0,21.8666,0.1063,47,1008.5333
8,0.0,2,15,5,0,2,Gothenburg,SWE,1992-08-14,,131.0,5.0,2010.0,John,74,8475906,0,1,Klingberg,John Klingberg,SWE,D,R,DAL,180,-1,13,0.8666,2,6,20182019,0,0,28.0666,0.119,42,1520.1333
10,0.0,1,14,3,0,8,Madison,USA,1985-01-21,WI,7.0,1.0,2003.0,Ryan,74,8470600,0,1,Suter,Ryan Suter,USA,D,L,MIN,208,0,13,0.9285,1,4,20182019,1,2,26.7142,0.1153,26,1564.9285
11,0.5,1,15,2,1,2,Halmstad,SWE,1989-09-01,,121.0,4.0,2008.0,Gustav,71,8474679,0,1,Nyquist,Gustav Nyquist,SWE,R,L,DET,184,-4,13,0.8666,0,5,20182019,0,0,22.4,0.0526,38,1032.6
3,0.3076,3,15,9,0,8,Edmonton,CAN,1992-05-06,AB,147.0,5.0,2010.0,Brendan,69,8475848,0,1,Gallagher,Brendan Gallagher,CAN,R,R,MTL,184,4,12,0.8,1,2,20182019,0,0,22.2,0.1666,54,1035.5333
4,0.4,2,12,8,0,10,Skellefteå,SWE,1993-04-08,,112.0,4.0,2014.0,Viktor,69,8478042,0,1,Arvidsson,Viktor Arvidsson,SWE,R,R,NSH,180,9,12,1.0,0,0,20182019,0,0,23.5,0.25,32,1089.25
5,0.3837,0,15,7,0,13,Victoria,CAN,1989-07-18,BC,129.0,5.0,2007.0,Jamie,74,8473994,0,1,Benn,Jamie Benn,CAN,L,L,DAL,205,2,12,0.8,4,5,20182019,0,0,25.5333,0.159,44,1145.4
6,0.0,1,15,6,0,2,Kuopio,FIN,1996-07-23,,22.0,1.0,2014.0,Kasperi,73,8477953,0,1,Kapanen,Kasperi Kapanen,FIN,R,R,TOR,192,8,12,0.8,0,0,20182019,0,0,22.1333,0.2142,28,952.4666
8,0.5403,2,15,4,0,10,East Palestine,USA,1993-03-14,OH,15.0,1.0,2011.0,J.T.,73,8476468,0,1,Miller,J.T. Miller,USA,C,L,TBL,218,-5,12,0.8,3,6,20182019,0,0,19.0666,0.1818,22,916.3333
8,0.0,1,13,4,1,6,Montreal,CAN,1987-04-24,QC,62.0,3.0,2005.0,Kris,72,8471724,0,1,Letang,Kris Letang,CAN,D,R,PIT,201,6,12,0.923,1,4,20182019,0,0,30.3076,0.0909,44,1544.2307
9,0.412,0,13,3,0,0,Brig,CHE,1999-01-04,,1.0,1.0,2017.0,Nico,73,8480002,0,1,Hischier,Nico Hischier,CHE,C,L,NJD,175,-2,12,0.923,2,5,20182019,0,0,21.6923,0.0909,33,1109.3846
9,0.0,1,11,3,0,8,Boston,USA,1986-09-09,MA,105.0,4.0,2005.0,Keith,73,8471735,0,1,Yandle,Keith Yandle,USA,D,L,FLA,191,-1,12,1.0909,2,5,20182019,0,0,31.0,0.0857,35,1504.4545
9,0.4345,1,15,3,1,4,New Westminster,CAN,1989-08-14,BC,3.0,1.0,2007.0,Kyle,73,8474068,0,1,Turris,Kyle Turris,CAN,C,R,NSH,190,2,12,0.8,1,3,20182019,0,0,21.4,0.125,24,982.0
9,0.5,0,17,3,0,2,Sundbyberg,SWE,1993-05-05,,30.0,1.0,2011.0,Rickard,73,8476483,0,1,Rakell,Rickard Rakell,SWE,C,R,ANA,202,-1,12,0.7058,1,4,20182019,0,0,22.5882,0.0638,47,1133.647
11,0.0,0,15,1,0,8,Ann Arbor,USA,1987-12-09,MI,45.0,2.0,2006.0,Jeff,75,8473507,0,1,Petry,Jeff Petry,USA,D,R,MTL,197,-3,12,0.8,1,5,20182019,0,1,27.5333,0.04,25,1457.6666
11,0.4066,0,14,1,0,12,Coquitlam,CAN,1997-05-26,BC,16.0,1.0,2015.0,Mathew,72,8478445,0,1,Barzal,Mathew Barzal,CAN,C,R,NYI,187,-7,12,0.8571,0,7,20182019,0,0,20.0,0.0555,18,1071.1428
4,0.5526,2,16,7,1,13,London,CAN,1995-04-05,ON,9.0,1.0,2013.0,Bo,72,8477500,0,1,Horvat,Bo Horvat,CAN,C,L,VAN,215,-5,11,0.6875,2,4,20182019,0,0,26.6875,0.1891,37,1196.1875
4,0.2857,0,15,7,0,12,Boxford,USA,1991-04-30,MA,19.0,1.0,2009.0,Chris,75,8475184,0,1,Kreider,Chris Kreider,USA,L,L,NYR,216,3,11,0.7333,2,3,20182019,0,0,22.6,0.1794,39,1018.2666
4,0.3414,1,15,7,0,13,Swan River,CAN,1992-04-20,MB,133.0,5.0,2010.0,Micheal,74,8475907,0,1,Ferland,Micheal Ferland,CAN,L,L,CAR,208,6,11,0.7333,2,3,20182019,0,0,21.6,0.125,56,990.1333
5,0.4761,0,13,6,0,12,Wheaton,USA,1992-03-09,IL,203.0,7.0,2011.0,Ryan,72,8476288,0,1,Dzingel,Ryan Dzingel,USA,L,L,OTT,190,-3,11,0.8461,1,2,20182019,0,0,22.0769,0.1875,32,1071.923
5,0.0,1,14,6,0,4,Shelby Twp.,USA,1996-12-09,MI,17.0,1.0,2015.0,Kyle,73,8478398,0,1,Connor,Kyle Connor,USA,L,L,WPG,182,3,11,0.7857,3,5,20182019,0,0,20.3571,0.1578,38,1140.9285
5,0.3333,1,15,6,0,6,Riverside,USA,1989-06-05,CT,157.0,6.0,2008.0,Cam,68,8474715,0,1,Atkinson,Cam Atkinson,USA,R,R,CBJ,179,-5,11,0.7333,1,3,20182019,0,0,24.4,0.1071,56,1110.0
6,0.4177,0,14,5,0,4,Spokane,USA,1990-07-29,WA,,,,Tyler,68,8474870,0,1,Johnson,Tyler Johnson,USA,C,R,TBL,183,9,11,0.7857,0,3,20182019,1,1,23.3571,0.1562,32,1030.6428
6,0.5538,1,13,5,0,10,Thunder Bay,CAN,1984-10-29,ON,2.0,1.0,2003.0,Eric,76,8470595,0,1,Staal,Eric Staal,CAN,C,L,MIN,207,-2,11,0.8461,2,3,20182019,0,1,20.5384,0.125,40,1072.6923
6,0.5,1,13,5,0,4,Sherbrooke,CAN,1988-05-28,QC,26.0,1.0,2007.0,David,72,8474102,0,1,Perron,David Perron,CAN,L,R,STL,200,2,11,0.8461,3,4,20182019,0,0,19.2307,0.2272,22,943.923
6,0.0,0,7,5,0,8,Nizhny Tagil,RUS,1986-07-05,,15.0,1.0,2004.0,Alexander,73,8471228,0,1,Radulov,Alexander Radulov,RUS,R,L,DAL,205,0,11,1.5714,1,5,20182019,0,0,24.1428,0.2777,18,1144.1428
7,0.1818,2,13,4,1,8,Burnsville,USA,1997-02-25,MN,23.0,1.0,2015.0,Brock,73,8478444,0,1,Boeser,Brock Boeser,USA,R,R,VAN,208,-1,11,0.8461,0,4,20182019,0,0,22.7692,0.1081,37,1099.3076
8,0.5649,1,11,3,0,4,Regina,CAN,1985-05-10,SK,19.0,1.0,2003.0,Ryan,76,8470612,0,1,Getzlaf,Ryan Getzlaf,CAN,C,R,ANA,225,0,11,1.0,0,3,20182019,0,0,23.0,0.1,30,1174.8181
8,0.0,0,15,3,0,2,Helsinki,FIN,1994-09-11,,18.0,1.0,2012.0,Teuvo,71,8476882,0,1,Teravainen,Teuvo Teravainen,FIN,L,L,CAR,178,7,11,0.7333,1,2,20182019,0,0,21.1333,0.0789,38,1050.2
9,0.0,1,15,2,0,6,Toronto,CAN,1989-05-13,ON,43.0,2.0,2007.0,P.K.,72,8474056,0,1,Subban,P.K. Subban,CAN,D,R,NSH,210,8,11,0.7333,0,4,20182019,1,1,30.0666,0.0476,42,1412.5333
9,0.0,1,12,2,0,14,Roseau,USA,1985-03-27,MN,245.0,8.0,2003.0,Dustin,77,8470834,0,1,Byfuglien,Dustin Byfuglien,USA,D,R,WPG,260,2,11,0.9166,0,7,20182019,0,0,24.5833,0.0571,35,1497.0
10,0.0,0,15,1,0,6,St. Paul,USA,1989-06-13,MN,12.0,1.0,2007.0,Ryan,73,8474151,0,1,McDonagh,Ryan McDonagh,USA,D,L,TBL,215,8,11,0.7333,0,2,20182019,0,1,26.0666,0.0277,36,1393.2666
11,0.0,0,15,0,0,4,Victoria,CAN,1991-07-26,BC,64.0,3.0,2009.0,Tyson,70,8475197,0,1,Barrie,Tyson Barrie,CAN,D,R,COL,190,9,11,0.7333,0,5,20182019,0,0,22.7333,0.0,30,1230.1333
3,0.25,1,15,7,0,20,Scarborough,CAN,1988-08-26,ON,61.0,2.0,2007.0,Wayne,74,8474190,0,1,Simmonds,Wayne Simmonds,CAN,R,R,PHI,185,-3,10,0.6666,2,3,20182019,0,0,20.8,0.1794,39,992.9333
4,0.4826,0,15,6,0,24,Ste-Agathe-des-Monts,CAN,1998-06-24,QC,3.0,1.0,2016.0,Pierre-Luc,75,8479400,0,1,Dubois,Pierre-Luc Dubois,CAN,C,L,CBJ,207,-3,10,0.6666,1,2,20182019,0,0,22.7333,0.1818,33,1090.4666
5,0.5666,1,12,5,0,2,Winnipeg,CAN,1985-05-13,MB,20.0,1.0,2004.0,Travis,74,8471233,0,1,Zajac,Travis Zajac,CAN,C,R,NJD,185,2,10,0.8333,0,2,20182019,0,0,22.75,0.2941,17,1070.8333
5,0.1428,0,12,5,0,12,Gävle,SWE,1990-10-13,,39.0,2.0,2009.0,Jakob,73,8475164,0,1,Silfverberg,Jakob Silfverberg,SWE,R,R,ANA,204,2,10,0.8333,1,3,20182019,0,0,23.0,0.2272,22,1034.6666
5,0.3478,2,13,5,0,6,Chesterfield,USA,1998-07-29,MO,7.0,1.0,2016.0,Clayton,70,8479343,0,1,Keller,Clayton Keller,USA,C,L,ARI,170,2,10,0.7692,0,3,20182019,0,0,24.3076,0.1785,28,1116.6153
6,0.4857,1,15,4,0,10,Ste-Agathe,CAN,1995-03-28,QC,3.0,1.0,2013.0,Jonathan,72,8477494,0,1,Drouin,Jonathan Drouin,CAN,C,L,MTL,193,-3,10,0.6666,1,6,20182019,0,0,22.1333,0.1052,38,1085.9333
6,0.3898,0,15,4,0,25,Vancouver,CAN,1991-08-02,BC,4.0,1.0,2009.0,Evander,74,8475169,0,1,Kane,Evander Kane,CAN,L,L,SJS,210,-5,10,0.6666,1,3,20182019,0,0,23.4666,0.0645,62,1093.3333
